"RegularSeason","Season","Date","HomeTeam","HomeTeamScore","AwayTeam","AwayTeamScore","HomeTeamWin","AwayTeamWin","NeutralTeamWin"
1,"1947","1946","TOR",66,"NYK",68,0,1,0
1,"1947","1946","PRO",59,"BOS",53,1,0,0
1,"1947","1946","SLB",56,"PIT",51,1,0,0
1,"1947","1946","CHS",63,"NYK",47,1,0,0
1,"1947","1946","DTF",33,"WCP",50,0,1,0
1,"1947","1946","CLR",71,"TOR",60,1,0,0
1,"1947","1946","PIT",56,"WCP",71,0,1,0
1,"1947","1946","BOS",55,"CHS",57,0,1,0
1,"1947","1946","DTF",49,"SLB",53,0,1,0
1,"1947","1946","PHW",81,"PIT",75,1,0,0
1,"1947","1946","PRO",73,"CHS",65,1,0,0
1,"1947","1946","SLB",63,"NYK",68,0,1,0
1,"1947","1946","TOR",73,"DTF",71,1,0,0
1,"1947","1946","SLB",70,"WCP",69,1,0,0
1,"1947","1946","PRO",76,"PIT",66,1,0,0
1,"1947","1946","CHS",64,"TOR",54,1,0,0
1,"1947","1946","DTF",69,"BOS",46,1,0,0
1,"1947","1946","CLR",92,"WCP",68,1,0,0
1,"1947","1946","PIT",84,"PRO",71,1,0,0
1,"1947","1946","NYK",68,"CHS",78,0,1,0
1,"1947","1946","DTF",68,"PRO",70,0,1,0
1,"1947","1946","CHS",71,"BOS",61,1,0,0
1,"1947","1946","PHW",68,"WCP",65,1,0,0
1,"1947","1946","SLB",64,"BOS",62,1,0,0
1,"1947","1946","TOR",85,"PRO",68,1,0,0
1,"1947","1946","SLB",83,"CLR",74,1,0,0
1,"1947","1946","CHS",65,"WCP",73,0,1,0
1,"1947","1946","NYK",64,"PIT",62,1,0,0
1,"1947","1946","PRO",59,"DTF",70,0,1,0
1,"1947","1946","BOS",53,"TOR",49,1,0,0
1,"1947","1946","CLR",76,"CHS",78,0,1,0
1,"1947","1946","NYK",61,"DTF",57,1,0,0
1,"1947","1946","PIT",54,"TOR",48,1,0,0
1,"1947","1946","TOR",72,"CLR",74,0,1,0
1,"1947","1946","PHW",63,"SLB",66,0,1,0
1,"1947","1946","NYK",72,"CHS",69,1,0,0
1,"1947","1946","DTF",53,"PIT",54,0,1,0
1,"1947","1946","WCP",54,"SLB",51,1,0,0
1,"1947","1946","PHW",63,"CHS",65,0,1,0
1,"1947","1946","PRO",58,"WCP",66,0,1,0
1,"1947","1946","BOS",53,"SLB",65,0,1,0
1,"1947","1946","TOR",83,"BOS",82,1,0,0
1,"1947","1946","NYK",82,"CLR",76,1,0,0
1,"1947","1946","PRO",59,"SLB",65,0,1,0
1,"1947","1946","WCP",74,"TOR",50,1,0,0
1,"1947","1946","DTF",54,"BOS",46,1,0,0
1,"1947","1946","CLR",62,"PIT",60,1,0,0
1,"1947","1946","CHS",55,"DTF",68,0,1,0
1,"1947","1946","BOS",59,"PRO",71,0,1,0
1,"1947","1946","PIT",46,"NYK",62,0,1,0
1,"1947","1946","TOR",68,"WCP",78,0,1,0
1,"1947","1946","PHW",66,"BOS",54,1,0,0
1,"1947","1946","DTF",66,"CLR",46,1,0,0
1,"1947","1946","WCP",75,"CHS",67,1,0,0
1,"1947","1946","PIT",62,"CLR",60,1,0,0
1,"1947","1946","NYK",67,"SLB",60,1,0,0
1,"1947","1946","CHS",72,"SLB",75,0,1,0
1,"1947","1946","PRO",58,"NYK",60,0,1,0
1,"1947","1946","BOS",59,"PIT",55,1,0,0
1,"1947","1946","PHW",55,"DTF",68,0,1,0
1,"1947","1946","TOR",72,"CLR",87,0,1,0
1,"1947","1946","PRO",79,"TOR",65,1,0,0
1,"1947","1946","NYK",64,"PHW",60,1,0,0
1,"1947","1946","SLB",60,"DTF",57,1,0,0
1,"1947","1946","WCP",49,"PIT",40,1,0,0
1,"1947","1946","CHS",66,"BOS",56,1,0,0
1,"1947","1946","CLR",49,"DTF",47,1,0,0
1,"1947","1946","PIT",44,"BOS",46,0,1,0
1,"1947","1946","PHW",76,"PRO",68,1,0,0
1,"1947","1946","WCP",80,"PRO",62,1,0,0
1,"1947","1946","NYK",70,"DTF",57,1,0,0
1,"1947","1946","PIT",46,"CHS",57,0,1,0
1,"1947","1946","CHS",61,"TOR",65,0,1,0
1,"1947","1946","BOS",61,"DTF",65,0,1,0
1,"1947","1946","SLB",66,"PIT",55,1,0,0
1,"1947","1946","PHW",62,"NYK",51,1,0,0
1,"1947","1946","CHS",86,"CLR",78,1,0,0
1,"1947","1946","BOS",65,"NYK",90,0,1,0
1,"1947","1946","WCP",75,"DTF",64,1,0,0
1,"1947","1946","PRO",59,"TOR",68,0,1,0
1,"1947","1946","SLB",47,"PHW",57,0,1,0
1,"1947","1946","CLR",72,"PHW",66,1,0,0
1,"1947","1946","NYK",62,"BOS",44,1,0,0
1,"1947","1946","PIT",58,"DTF",66,0,1,0
1,"1947","1946","TOR",73,"PHW",85,0,1,0
1,"1947","1946","CLR",61,"SLB",62,0,1,0
1,"1947","1946","CHS",88,"CLR",79,1,0,0
1,"1947","1946","NYK",83,"PRO",68,1,0,0
1,"1947","1946","WCP",81,"DTF",66,1,0,0
1,"1947","1946","SLB",68,"CHS",88,0,1,0
1,"1947","1946","BOS",73,"DTF",66,1,0,0
1,"1947","1946","PHW",49,"WCP",64,0,1,0
1,"1947","1946","TOR",52,"PIT",62,0,1,0
1,"1947","1946","PRO",81,"DTF",66,1,0,0
1,"1947","1946","BOS",77,"PHW",65,1,0,0
1,"1947","1946","WCP",72,"CLR",52,1,0,0
1,"1947","1946","CHS",84,"PIT",75,1,0,0
